academic_id,daily_study_hours,academic_pressure_score,attendance_percentage,cgpa
A-122339,2.4,2,0.594,7.12
A-122340,2.4,2,0.803,5.02
A-122351,2.4,2,0.539,8.86
A-122357,2.4,2,0.631,6.97
A-122358,2.4,2,0.868,6.11
A-122391,2.4,2,0.562,6.15
A-122395,2.4,2,0.92,7.04
A-122400,2.4,2,0.944,5.32
A-122401,2.4,2,0.553,5.68
A-122404,2.4,2,0.696,9.71
A-122407,2.4,2,0.703,9.07
A-122411,2.4,2,0.937,4.47
A-122423,2.4,2,0.897,5.61
A-122429,2.4,2,0.653,6.14
A-122435,2.4,2,0.543,4.53
A-122438,2.4,2,0.716,6.41
A-122439,2.4,2,0.755,6.09
A-122443,2.4,2,0.803,4.81
A-122446,2.4,2,0.767,7.44
A-122464,2.4,2,0.903,6.65
A-122477,2.4,2,0.723,6.76
A-122486,2.4,2,0.932,5.09
A-122499,2.4,2,0.858,9.62
A-122510,2.4,2,0.87,5.81
A-122511,2.4,2,0.925,8.21
A-122520,2.4,2,0.841,8.82
A-122526,2.4,2,0.565,9.86
A-122540,2.4,2,0.99,6.19
A-122544,2.4,2,0.862,7.44
A-122558,2.4,2,0.724,7.34
A-122583,2.4,2,0.759,8.91
A-122602,2.4,2,0.988,8.77
A-122609,2.4,2,0.874,8.04
A-122629,2.4,2,0.953,4.67
A-122632,2.4,2,0.932,5.69
A-122639,2.4,2,0.805,6.52
A-122647,2.4,2,0.663,9.82
A-122659,2.4,2,0.769,7.14
A-122673,2.4,2,0.661,4.49
A-122680,2.4,2,0.753,7.68
A-122682,2.4,2,0.823,9.57
A-122689,2.4,2,0.759,6.36
A-122699,2.4,2,0.672,8.29
A-122705,2.4,2,0.614,5.76
A-122707,2.4,2,0.51,6.37
A-122710,2.4,2,0.827,9.66
A-122712,2.4,2,0.965,5.69
A-122726,2.4,2,0.618,9.67
A-122740,2.4,2,0.615,6.47
A-122758,2.4,2,0.585,4.47
A-122786,2.4,2,0.669,8.6
A-122791,2.4,2,0.741,4.02
A-122798,2.4,2,0.997,8.36
A-122818,2.4,2,0.817,8.56
A-122842,2.4,2,0.845,8.62
A-122843,2.4,2,0.867,6.9
A-122845,2.4,2,0.562,6.18
A-122858,2.4,2,0.992,5.49
A-122865,2.4,2,0.722,4.71
A-122867,2.4,2,0.571,7.95
A-122872,2.4,2,0.696,6.76
A-122874,2.4,2,0.903,5
A-122876,2.4,2,0.765,5.81
A-122878,2.4,2,0.713,4.85
A-122880,2.4,2,0.925,4.7
A-122881,2.4,2,0.976,8.21
A-122898,2.4,2,0.838,5.96
A-122908,2.4,2,0.97,8.07
A-122909,2.4,2,0.599,6.07
A-122926,2.4,2,0.531,8.28
A-122939,2.4,2,0.704,5.53
A-122956,2.4,2,0.746,9
A-122968,2.4,2,0.836,5.15
A-122970,2.4,2,0.78,8.66
A-122971,2.4,2,0.818,4.6
A-122982,2.4,2,0.99,7.22
A-122984,2.4,2,0.746,4.21
A-122991,2.4,2,0.932,9.43
A-122997,2.4,2,0.958,8.77
A-123008,2.4,2,0.895,5.77
A-123026,2.4,2,0.661,4.71
A-123028,2.4,2,0.942,8.02
A-123053,2.4,2,0.828,7.78
A-123056,2.4,2,0.676,7.25
A-123058,2.4,2,0.845,8.5
A-123076,2.4,2,0.728,6.46
A-123094,2.4,2,0.987,7.03
A-123103,2.4,2,0.747,6.09
A-123109,2.4,2,0.958,5.75
A-123127,2.4,2,0.559,5.19
A-123157,2.4,2,0.955,7.59
A-123161,2.4,2,0.988,8.62
A-123172,2.4,2,0.727,9.25
A-123179,2.4,2,0.739,4.48
A-123209,2.4,2,0.558,4.38
A-123220,2.4,2,0.651,8.74
A-123229,2.4,2,0.605,8.23
A-123239,2.4,2,0.734,5.96
A-123251,2.4,2,0.645,9.3
A-123260,2.4,2,0.789,9.74
A-123292,2.4,2,0.869,4.97
A-123293,2.4,2,0.666,7.61
A-123296,2.4,2,0.615,9.15
A-123301,2.4,2,0.9,4.74
A-123303,2.4,2,0.911,5.84
A-123306,2.4,2,0.886,4.68
A-123309,2.4,2,0.524,9.35
A-123325,2.4,2,0.671,6.76
A-123351,2.4,2,0.882,6.94
A-123353,2.4,2,0.88,4.52
A-123359,2.4,2,0.824,5.35
A-123368,2.4,2,0.934,6.37
A-123369,2.4,2,0.627,8.4
A-123375,2.4,2,0.918,7.11
A-123383,2.4,2,0.6,5.3
A-123384,2.4,2,0.678,7.66
A-123389,2.4,2,0.999,7.43
A-123393,2.4,2,0.923,7.26
A-123404,2.4,2,0.506,5.29
A-123416,2.4,2,0.564,4.05
A-123421,2.4,2,0.937,7.05
A-123424,2.4,2,0.593,6.75
A-123426,2.4,2,0.938,5.96
A-123435,2.4,2,0.932,5.58
A-123438,2.4,2,0.553,5.95
A-123448,2.4,2,0.795,4.49
A-123450,2.4,2,0.686,7.4
A-123452,2.4,2,0.566,6.03
A-123465,2.4,2,0.794,8.02
A-123470,2.4,2,0.599,6.08
A-123473,2.4,2,0.932,9.25
A-123474,2.4,2,0.81,7.88
A-123485,2.4,2,0.852,9.27
A-123489,2.4,2,0.961,4.64
A-123490,2.4,2,0.874,6.88
A-123493,2.4,2,0.937,9.46
A-123497,2.4,2,0.846,8.63
A-123519,2.4,2,0.718,4.28
A-123520,2.4,2,0.867,7.32
A-123522,2.4,2,0.699,4.31
A-123531,2.4,2,0.91,4.75
A-123535,2.4,2,0.975,4.05
A-123537,2.4,2,0.806,6.46
A-123541,2.4,2,0.886,4.76
A-123567,2.4,2,0.701,8.67
A-123579,2.4,2,0.571,8.74
A-123585,2.4,2,0.989,9.28
A-123587,2.4,2,0.545,7.31
A-123589,2.4,2,0.863,9.55
A-123614,2.4,2,0.605,5.66
A-123625,2.4,2,0.942,8.62
A-123637,2.4,2,0.949,8.17
A-123641,2.4,2,0.984,6.2
A-123656,2.4,2,0.783,8.08
A-123663,2.4,2,0.572,5.83
A-123671,2.4,2,0.752,6.1
A-123673,2.4,2,0.786,9.75
A-123684,2.4,2,0.522,8.43
A-123689,2.4,2,0.638,4.1
A-123704,2.4,2,0.826,6.68
A-123705,2.4,2,0.712,9.63
A-123718,2.4,2,0.579,8.91
A-123739,2.4,2,0.712,7.44
A-123740,2.4,2,0.516,9.85
A-123751,2.4,2,0.814,6.03
A-123754,2.4,2,0.91,5.15
A-123769,2.4,2,0.514,4.74
A-123788,2.4,2,0.836,6.65
A-123792,2.4,2,0.923,7.67
A-123806,2.4,2,0.703,8.22
A-123807,2.4,2,0.663,7.76
A-123811,2.4,2,0.748,8.22
A-123845,2.4,2,0.581,9.12
A-123847,2.4,2,0.556,8.14
A-123868,2.4,2,0.603,9.91
A-123881,2.4,2,0.642,5.42
A-123885,2.4,2,0.845,8.16
A-123901,2.4,2,0.846,4.1
A-123914,2.4,2,0.659,7.44
A-123927,2.4,2,0.797,9.38
A-123929,2.4,2,0.783,6.65
A-123930,2.4,2,0.552,7.84
A-123932,2.4,2,0.949,5.95
A-123942,2.4,2,0.763,8.88
A-123946,2.4,2,0.639,4.93
A-123953,2.4,2,0.906,9.25
A-123968,2.4,2,0.925,7.17
A-123988,2.4,2,0.894,9.31
A-124003,2.4,2,0.504,4.7
A-124005,2.4,2,0.886,5.45
