wellness_id,daily_sleep_hours,social_support_score,physical_activity_hours,Sleep_Quality_Score
W-100025,4,8,1.7,3
W-100241,4,8,1.8,3
W-100249,4,8,0.2,3
W-100262,4,8,0.3,3
W-100294,4,8,1.1,3
W-100301,4,8,1,3
W-100303,4,8,0.1,3
W-100317,4,8,0.9,3
W-100329,4,8,0.6,3
W-100350,4,8,0.8,3
W-100379,4,8,0.7,3
W-100386,4,8,0.4,3
W-100419,4,8,1.9,3
W-100422,4,8,1.6,3
W-100424,4,8,0.5,3
W-100430,4,8,1.2,3
W-100455,4,8,1.3,3
W-100471,4,8,2,3
W-100487,4,8,0,3
W-100530,4,8,1.5,3
W-100564,4,8,1.4,3
W-100574,4.1,8,0.9,3
W-100575,4.1,8,0,3
W-100640,4.1,8,0.5,3
W-100644,4.1,8,0.8,3
W-100646,4.1,8,1.3,3
W-100663,4.1,8,1.1,3
W-100726,4.1,8,0.6,3
W-100755,4.1,8,1.2,3
W-100845,4.1,8,1.8,3
W-100885,4.1,8,0.3,3
W-100932,4.1,8,0.4,3
W-100987,4.1,8,1.5,3
W-101027,4.1,8,1.7,3
W-101082,4.1,8,0.7,3
W-101084,4.1,8,1.6,3
W-101095,4.1,8,1,3
W-101119,4.1,8,1.4,3
W-101120,4.1,8,0.1,3
W-101136,4.1,8,1.9,3
W-101156,4.1,8,0.2,3
W-101221,4.2,8,0.9,3
W-101229,4.2,8,0.3,3
W-101269,4.2,8,1.8,3
W-101291,4.2,8,1,3
W-101302,4.2,8,2,3
W-101312,4.2,8,0.4,3
W-101344,4.2,8,1.2,3
W-101367,4.2,8,1.6,3
W-101397,4.2,8,1.7,3
W-101453,4.2,8,0.8,3
W-101460,4.2,8,1.5,3
W-101515,4.2,8,1.1,3
W-101532,4.2,8,1.9,3
W-101573,4.2,8,0.5,3
W-101608,4.2,8,0.6,3
W-101620,4.2,8,0.7,3
W-101633,4.2,8,0.1,3
W-101670,4.2,8,1.4,3
W-101709,4.2,8,0.2,3
W-101748,4.2,8,1.3,3
W-101815,4.3,8,1,3
W-101891,4.3,8,0.9,3
W-101916,4.3,8,0.7,3
W-101943,4.3,8,2,3
